정류장명,위도,경도
상계주공14단지,37.6689,127.0569167
마들역,37.6663167,127.0575667
보람아파트1단지,37.66445,127.0654333
보람아파트2단지,37.6647333,127.0646
청원고등학교,37.66525,127.0616
상계주공12단지1202동,37.66495,127.0597833
석계역1번출구A,37.61495,127.0651167
석계역2번출구,37.6153167,127.0667
월계주공108동앞.롯데캐슬루나아파트,37.6263,127.05265
인덕대학,37.6279333,127.0551833
한진한화그랑빌아파트,37.6158833,127.0693333
롯데캐슬루나아파트,37.6253167,127.0516333
인덕대앞,37.62905,127.0574833
월계보건지소,37.6319167,127.0614667
월계보건지소,37.63165,127.0617167
상명고등학교.성원아파트,37.6498,127.0692167
은행사거리,37.64995,127.0765167
중계주공10단지.중계건영3차아파트,37.6476833,127.07395
롯데우성아파트,37.6475,127.0739833
중계구민체육센터,37.6475833,127.07095
중계구민체육센터,37.6478,127.0712667
롯데마트,37.6474,127.0701833
중계역,37.6438667,127.0644
노원구민의전당,37.6393667,127.0664667
중계역,37.6432,127.06515
서울시립북서울미술관,37.6406,127.0663333
상명고등학교,37.6495167,127.06905
목련아파트상가,37.6468833,127.0698667
중계목화아파트4단지,37.64355,127.0713833
용동초등학교,37.64215,127.0691167
용동초등학교,37.6419,127.069
홈플러스중계점,37.64075,127.0686167
상계역,37.6615,127.0740833
신한은행중계동지점,37.65055,127.0776167
기업은행중계동WM센터,37.6507333,127.0774
노원문화예술회관.불암초등학교,37.6506833,127.08015
노원문화예술회관.불암초등학교,37.6500833,127.0809333
영신여자고등학교입구,37.6493167,127.0810333
불암고등학교,37.6485167,127.08065
중계본동주민센터,37.6475,127.08065
노원우체국,37.64605,127.0816833
노원우체국,37.6461833,127.0818833
중계본동종점,37.6446833,127.08305
은행사거리,37.6496667,127.0768667
