공원명,위도,경도,이미지,지역,공원주소
자매근린공원,37.5177329,126.9302895,http://parks.seoul.go.kr/file/info/view.do?fIdx=1942,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324
장지근린공원,37.4957083,127.1387,http://parks.seoul.go.kr/file/info/view.do?fIdx=1943,송파구,서울특별시 송파구 장지동 산 11번지
명일근린공원,37.5537143,127.1613641,http://parks.seoul.go.kr/file/info/view.do?fIdx=1944,강동구,서울특별시 강동구 상일동 135
방화근린공원,37.5819812,126.8132285,http://parks.seoul.go.kr/file/info/view.do?fIdx=1848,강서구,서울특별시 강서구 금낭화로 176(방화공원)
아시아근린공원,37.5102779,127.0762885,http://parks.seoul.go.kr/file/info/view.do?fIdx=1849,송파구,서울특별시 송파구 올림픽로 44 (잠실동)
배봉산근린공원,37.5812324,127.0641623,http://parks.seoul.go.kr/file/info/view.do?fIdx=1850,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) 
안산도시자연공원,37.5798246,126.9390273,http://parks.seoul.go.kr/file/info/view.do?fIdx=1851,서대문구,서울특별시 서대문구 홍제동 산33-98
염창근린공원,37.5579702,126.8689817,http://parks.seoul.go.kr/file/info/view.do?fIdx=1852,강서구,서울특별시 강서구 염창동 산24-1
백련근린공원,37.5879662,126.928616,http://parks.seoul.go.kr/file/info/view.do?fIdx=1860,서대문구,서울특별시 서대문구 통일로 507-22(백련공원) 
오금근린공원,37.5038715,127.1323957,http://parks.seoul.go.kr/file/info/view.do?fIdx=1861,송파구,서울특별시 송파구 오금로 363 오금근린공원 
오동근린공원,37.6327957,127.0317269,http://parks.seoul.go.kr/file/info/view.do?fIdx=1862,강북구,서울특별시 강북구 번동 산20-1
