학교명,위도,경도,설립형태,소재지도로명주소
문래중학교,37.52041829,126.8841404,공립,서울특별시 영등포구 선유서로13길 6
하남중학교,37.53645843,127.222936,공립,경기도 하남시 천현로 113
수서중학교,37.49120377,127.1023799,공립,서울특별시 강남구 광평로59길 57
비봉중학교,37.23724717,126.8726902,사립,경기도 화성시 비봉면 양노로109번길 5
파주중학교,37.83304398,126.8296957,사립,경기도 파주시 파주읍 술이홀로 377
화성중학교,37.13902926,126.9064904,사립,경기도 화성시 향남읍 장짐길 4
장안중학교,37.60077444,127.0809965,공립,서울특별시 중랑구 동일로 780
신천중학교,37.51625001,127.0792834,공립,서울특별시 송파구 백제고분로 11
광명중학교,37.47842348,126.8675734,공립,경기도 광명시 오리로876번길 27
문정중학교,37.48848095,127.1300209,공립,서울특별시 송파구 문정로 73
흥진중학교,37.352861,126.9285268,공립,경기도 군포시 오금로 15-35
청원중학교,37.66525155,127.0625329,사립,서울특별시 노원구 한글비석로 506
퇴계원중학교,37.65236033,127.141466,공립,경기도 남양주시 퇴계원읍 퇴계원로 49-8
장평중학교,37.56685961,127.0704776,공립,서울특별시 동대문구 답십리로72길 158
양수중학교,37.544741,127.3256681,공립,경기도 양평군 양서면 용담3길 15
용인한빛중학교,37.3372256,127.084866,공립,경기도 용인시 수지구 동천로 177
당동중학교,37.34543137,126.9372674,공립,경기도 군포시 용호1로21번길 12
광양중학교,37.53089134,127.0861699868,공립,서울특별시 광진구 자양로3길 7
영문중학교,37.2719248,127.208493,공립,경기도 용인시 처인구 포곡읍 영문로 70
상원중학교,37.67176621,127.059504,공립,서울특별시 노원구 수락산로 182
범계중학교,37.38471774,126.955357,공립,경기도 안양시 동안구 동안로 56
신길중학교,37.33713186,126.787655,공립,경기도 안산시 단원구 신길로 81
능실중학교,37.26094165,126.9562586,공립,경기도 수원시 권선구 호매실로165번길 28-1
현화중학교,36.9824163,126.920036,공립,경기도 평택시 안중읍 현화중앙길 41
나곡중학교,37.25143052,127.1245131,공립,경기도 용인시 기흥구 사은로126번길 83
천보중학교,37.75069397,127.0650594,공립,경기도 의정부시 부용로 61
인창중학교,37.606515,127.1464064,공립,경기도 구리시 건원대로34번길 118
시흥매화중학교,37.41319048,126.8159638,공립,경기도 시흥시 매화로 71
금촌중학교,37.75127115,126.7787863,공립,경기도 파주시 쇠재1길 21
포천여자중학교,37.905506,127.1999927,공립,경기도 포천시 신북면 중앙로197번길 65
안곡중학교,37.681007,126.7868841,공립,경기도 고양시 일산동구 하늘마을로 93
발안중학교,37.132845,126.9187019,공립,경기도 화성시 향남읍 발안로 73
일산중학교,37.68897122,126.7683384,공립,경기도 고양시 일산서구 원일로 53
부안중학교,37.39909518,126.9606259,공립,경기도 안양시 동안구 달안로 170
덕이중학교,37.70291507,126.7536353,공립,경기도 고양시 일산서구 하이파크3로 122
장성중학교,37.68131955,126.7513728,공립,경기도 고양시 일산서구 대산로 254
평내중학교,37.64804303,127.2382105,공립,경기도 남양주시 경춘로1286번길 23
성문중학교,37.37984308,126.9246852,사립,경기도 안양시 만안구 성결대학로64번길 9
도촌중학교,37.41676815,127.1542449,공립,경기도 성남시 중원구 도촌북로 50
오남중학교,37.701337,127.2058536,공립,경기도 남양주시 오남읍 진건오남로808번길 34
정천중학교,37.28939916,126.981942,공립,경기도 수원시 팔달구 정자천로32번길 11
양일중학교,37.49437051,127.4934909,사립,경기도 양평군 양평읍 관문2길 9
솔뫼중학교,37.73083839,127.0823822,공립,경기도 의정부시 시민로 464-14
동두천여자중학교,37.90667068,127.0608065,사립,경기도 동두천시 평화로2452번길 31
덕풍중학교,37.55369803,127.1992248,공립,경기도 하남시 덕풍북로71번길 10
동화중학교,37.60793099,127.1619037,사립,경기도 남양주시 경춘로 434
포승중학교,36.98198727,126.8817813,공립,경기도 평택시 포승읍 서동대로 1138
남문중학교,37.89719133,126.9798943,사립,경기도 양주시 남면 개나리18길 1
우신중학교,37.49490231,126.8263536,사립,서울특별시 구로구 부일로 917
용인백현중학교,37.280995,127.164679,공립,경기도 용인시 기흥구 동백7로 107번길 20
낙원중학교,37.39919048,127.0961776,공립,경기도 성남시 분당구 서판교로132번길 11
라온중학교,37.069442,127.0669522,사립,경기도 평택시 경기대로1376번길 38-6
장당중학교,37.05165213,127.0631855,공립,경기도 평택시 장당길 40
전동중학교,37.58619359,127.0709291,공립,서울특별시 동대문구 장안벚꽃로 291
상록중학교,37.30011319,126.8695749,공립,경기도 안산시 상록구 각골로4길 29
송전중학교,37.1404346,127.2007625,공립,경기도 용인시 처인구 이동읍 경기동로687번길 28-14
이목중학교,37.31831824,126.9823353,공립,경기도 수원시 장안구 장안로 426
