면허번호,업종명,사업자구분,업체명,주사무소 우편번호,주사무소 주소,주사무소 상세주소,팩스번호,관할관청,면허상태
80018,화물주선업,개인,남북통일사다리차,02024,서울특별시 중랑구 신내로 211,450호 (신내동),,중랑구,정상
220104,화물주선업,법인,한빛물류(주),08632,서울특별시 금천구 시흥대로59길 35,"301호 (시흥동, 건영아파트상가동)",,금천구,정상
220052,화물주선업,개인,건국화물,06770,서울특별시 서초구 매헌로16길 8,"4층 404호(양재동,보광빌딩)",,서초구,정상
220101,화물주선업,개인,종합화물,05021,서울특별시 광진구 광나루로 416,지층 (화양동),,광진구,정상
220568,화물주선업,법인,(주)씨티물류,08576,서울특별시 금천구 가산로 33,"402호 (독산동, 건설빌딩)",,금천구,정상
220357,화물주선업,개인,보배물류,06772,서울특별시 서초구 매헌로1길 30,지하(양재동),,서초구,정상
220408,화물주선업,법인,제형운수(주),06654,서울특별시 서초구 효령로53길 21,(서초동),,서초구,정상
220436,화물주선업,개인,정도물류,08110,서울특별시 양천구 신정로 167,1동 3층27호(신정동),,양천구,정상
220438,화물주선업,법인,부산종합화물(주),08055,서울특별시 양천구 신정로 167,"에이동 123호 (신정동,서부트럭터미널)",,양천구,정상
220456,화물주선업,개인,제주화물,158-070,서울특별시 양천구 신정동,812 서부트럭터미널 A동 110호,,양천구,정상
220462,화물주선업,개인,삼보유통,08055,서울특별시 양천구 신정로 167,"2동 3층 24호 (신정동, 서부트럭터미널)",,양천구,정상
220592,화물주선업,개인,화물전국운송,06677,서울특별시 서초구 방배천로16길 18,218호 (방배동),,서초구,정상
220604,화물주선업,법인,영신화물(주),05826,서울특별시 송파구 동남로11길 13,"302호 (가락동, 펠리체)",,송파구,정상
230305,화물주선업,법인,선영운수(주),06651,서울특별시 서초구 반포대로18길 56,602호 (서초동),,서초구,정상
150433,화물주선업,개인,충청화물,08110,서울특별시 양천구 신정로 167,"2동 3층13호 (신정동, 서부트럭터미널)",,양천구,정상
210102,화물주선업,법인,하나익스프레스,08716,서울특별시 관악구 국회단지길 24,(봉천동),,관악구,정상
140059,화물주선업,개인,한진익스프레스,03955,서울특별시 마포구 망원동,439-13 나동 101호 ,,마포구,정상
70099,화물주선업,개인,수성익스프레스,02072,서울특별시 중랑구 송림길 58,1층 (신내동),,중랑구,정상
210103,화물주선업,개인,동서통운,08859,서울특별시 관악구 난향15길27,(봉천동),,관악구,정상
160042,화물주선업,법인,(주)하나파인물류,157-240,서울특별시 강서구 공항동,"281 김포국제화물청사 329-2,4호",02-2665-6114,강서구,정상
150257,화물주선업,법인,한진베스트팩(주),04321,서울특별시 용산구 갈월동,85-3,,용산구,정상
190051,화물주선업,개인,한강익스프레스,04090,서울특별시 마포구 독막로 227,(신수동),,마포구,정상
160061,화물주선업,법인,주-코리아쉬레드,06349,서울특별시 강남구 밤고개로1길 10,"1304호(수서동,현대벤쳐빌)",,강남구,정상
220349,화물주선업,개인,코아트랜스,06562,서울특별시 서초구 방배로33길 16,지층(방배동),,서초구,정상
120001,화물주선업,개인,소율이네 이사,03386,서울특별시 은평구 통일로75길 19,(대조동),,은평구,정상
220319,화물주선업,개인,제주지방화물,08055,서울특별시 양천구 신정로 167,1동 3층 7호 (신정동),,양천구,정상
150077,화물주선업,개인,티엠로지스,08055,서울특별시 양천구 신정로 167,"1동 1층 27호 (신정동, 서부트럭터미널)",,양천구,정상
150205,화물주선업,개인,태선물류,08110,서울특별시 양천구 신정로 167,"3동 1층 1115호(신정동, 서부트럭터미널)",,양천구,정상
200006,화물주선업,개인,삼성이사 화물,07056,서울특별시 동작구 여의대방로24길 66,1층 103호 (신대방동),,동작구,정상
220570,화물주선업,개인,태양화물,07221,서울특별시 영등포구 국회대로37길 17,302호(당산동4가),,영등포구,정상
220472,화물주선업,법인,(주)알고랩,06103,서울특별시 강남구 봉은사로 331,9층 (논현동),,강남구,정상
150178,화물주선업,개인,서일로지스,08055,서울특별시 양천구 신정로 167,"2동 3층 32호 (신정동, 서부트럭터미널)",,양천구,정상
163,화물주선업,개인,태화통운익스프레스,02230,서울특별시 중랑구 면목동,194-21 1층,,중랑구,정상
250059,화물주선업,개인,까치퀵물류,07402,서울특별시 영등포구 가마산로46길 18,1층 (대림동),,영등포구,정상
220564,화물주선업,법인,(주)보나미시스템,04532,서울특별시 중구 소공로 88 6층,"(소공동,한진빌딩 신관)",,중구,정상
150174,화물주선업,법인,주식회사온다25시콜화물,04795,서울특별시 성동구 아차산로7길 36,209호 (성수동2가),,성동구,정상
160031,화물주선업,법인,대영에어카고서비스(주),157-815,서울특별시 강서구 공항동,281 김포국제화물청사 331-3,,강서구,정상
150044,화물주선업,개인,대왕로지스,08055,서울특별시 양천구 신정로 167,"3동 3층 1303호 (신정동, 서부트럭터미널)",,양천구,정상
150093,화물주선업,법인,(주)대우통운,08093,서울특별시 양천구 목동서로 389,"701호 (신정동,테마플라자빌딩)",,양천구,정상
160021,화물주선업,개인,진영익스프레스,02141,서울특별시 중랑구 동일로100길 16,(면목동),,중랑구,정상
984,화물주선업,개인,대원화물,01108,서울특별시 강북구 솔매로7길 30, (미아동),,강북구,정상
190059,화물주선업,개인,대원익스프레스,08294,서울특별시 구로구 구로중앙로28길 31-48,지층 (구로동),,구로구,정상
998,화물주선업,개인,대지익스프레스,02220,서울특별시 중랑구 면목로55길 37,(면목동),,중랑구,정상
150031,화물주선업,개인,대지통운,08055,서울특별시 양천구 신정3동,812 서부트럭터미널 C-1227,,양천구,정상
1001,화물주선업,개인,대진익스프레스,05116,서울특별시 광진구 구의강변로 22,101호 (구의동),,광진구,정상
150393,화물주선업,법인,에이치엠오토(주),04535,서울특별시 중구 퇴계로 97,"1603호(충무로1가, 고려대연각타워)",,중구,정상
150109,화물주선업,개인,대림운수,08055,서울특별시 양천구 신정로 167,"2동 지층 17호(신정동, 서부트럭터미널)",,양천구,정상
160033,화물주선업,개인,대명익스프레스,07512,서울특별시 강서구 방화동,345-4,,강서구,정상
150129,화물주선업,법인,공성물류(주),08301,서울특별시 구로구 가마산로 279,"306호 (구로동, 동남오피스텔)",,구로구,정상
190032,화물주선업,개인,한진익스프레스,03755,서울특별시 서대문구 북아현로6길 30,(북아현동),,서대문구,정상
150238,화물주선업,개인,대산통운,08055,서울특별시 양천구 신정3동,812 서부트럭터미널 A-315,,양천구,정상
120007,화물주선업,개인,통인익스프레스,05117,서울특별시 광진구 광나루로54길 20,201호(구의동),,광진구,정상
150091,화물주선업,개인,부창물류,08110,서울특별시 양천구 신정로 167,"1동 3층 18호 (신정동, 서부트럭터미널)",,양천구,정상
220431,화물주선업,개인,데코익스프레스,06256,서울특별시 강남구 도곡로17길 30, B01호(역삼동),,강남구,정상
220486,화물주선업,법인,신우트럭뱅크,05671,서울특별시 송파구 가락로 208,"407호 (송파동, 일조빌딩)",,송파구,정상
220547,화물주선업,개인,곰바우익스프레스화물,06618,서울특별시 서초구 서초대로70길 6,(서초동),,서초구,정상
220594,화물주선업,개인,좋은날익스프레스,06681,서울특별시 서초구 방배로19길 43,1층 (방배동),,서초구,정상
220602,화물주선업,법인,다이아몬드특송(주),13977,경기도 안양시 만안구 박달로 351, (박달동),,타기관,정상
220607,화물주선업,법인,(주)동특,07333,서울특별시 영등포구 국제금융로 70,"10층 (여의도동,미원빌딩)",,영등포구,정상
230115,화물주선업,법인,(주)하이만,04308,서울특별시 용산구 청파로 307,"303호 (청파동1가, 청일빌딩)",,용산구,정상
230076,화물주선업,법인,부연운수(주),06651,서울특별시 서초구 서초중앙로 69,15층 5호 (서초동),,서초구,정상
230026,화물주선업,법인,미쓰이소꼬코리아(주),04540,서울특별시 중구 남대문로10길 9,"경기빌딩 1302호 (삼각동,경기빌딩)",,중구,정상
230031,화물주선업,법인,(주)대문종합물류,06053,서울특별시 강남구 논현로132길 34,"3층(논현동,사전빌딩)",,강남구,정상
230154,화물주선업,개인,강남트랜스,05724,서울특별시 송파구 중대로38길 12,102호 (오금동),,송파구,정상
230155,화물주선업,법인,(주)유성티엔에스,06750,서울특별시 서초구 남부순환로 2583,"9층(서초동,서희타워)",,서초구,정상
230168,화물주선업,개인,육천통운,06313,서울특별시 강남구 논현로 12,길 5(개포동),,강남구,정상
150434,화물주선업,법인,(주)극동육운,08055,서울특별시 양천구 신정로 167,"1동 1층 7호 (신정동, 서부트럭터미널)",,양천구,정상
110005,화물주선업,개인,신성기업,06173,서울특별시 강남구 영동대로 510,삼성빌딩 304-C (삼성동),,강남구,정상
110018,화물주선업,개인,대신익스프레스,01685,서울특별시 노원구 상계로9나길 29,"1층 (상계동, 우신하이츠빌라)",,노원구,정상
110019,화물주선업,개인,럭키익스프레스,01308,서울특별시 도봉구 도봉로159길 28,2층 (도봉동),,도봉구,정상
110027,화물주선업,개인,21세기고려통운,12091,경기도 남양주시 순화궁로 612, (별내동),,타기관,정상
110029,화물주선업,개인,한터럭키포장,139-220,서울특별시 노원구 중계동,157-47,,노원구,정상
80006,화물주선업,법인,천마익스프레스,02843,서울특별시 성북구 안암동1가,347,,성북구,정상
150100,화물주선업,법인,대경티엘에스(주),07237,서울특별시 영등포구 국회대로70길 18, (여의도동),,영등포구,정상
20002,화물주선업,법인,(주)이에스원물류,05093,서울특별시 광진구 자양번영로1길 34,301호 (자양동),,광진구,정상
470,화물주선업,법인,(주)천우화물,04702,서울특별시 성동구 청계천로 462,305호 (하왕십리동),,성동구,정상
220506,화물주선업,개인,천하통운,06770,서울특별시 서초구 매헌로16길 8,"4층 402호(양재동,보광빌딩)",,서초구,정상
